INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (1, 'Annette Gray', '1966-03-06', 'B.Sc', '09947 Hughes Roads Apt. 700, East Thomaschester, UT 25223', 5, 4, 1, 0, '2023-10-26 00:11:17', 4, '2024-10-19 05:33:39', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (2, 'Lindsey Patterson', '1997-04-19', 'M.Tech', '0332 Brandon Loop Apt. 007, Reedburgh, WV 01848', 1, 2, 0, 0, '2023-12-01 04:44:34', 5, '2024-12-19 00:34:45', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (3, 'Carol Peterson', '1969-10-27', 'M.Tech', '09644 Jackson Light Apt. 310, Jamesport, NC 12105', 1, 2, 0, 0, '2024-02-22 17:31:54', 4, '2024-10-26 13:28:35', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (4, 'Lisa Ware', '1980-04-21', 'M.Tech', '8789 Bruce Field Suite 773, Cowanport, VA 81337', 4, 1, 0, 0, '2024-02-01 05:51:24', 5, '2024-12-28 04:18:53', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (5, 'Christopher Jackson', '1967-10-31', 'B.Tech', '240 Ruben Point, East Dominic, FL 54978', 4, 1, 0, 0, '2024-02-25 19:14:41', 2, '2024-10-01 08:00:31', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (6, 'Kelly Walker', '1991-07-15', 'M.Tech', '6786 Kevin Shoals Suite 795, Bennettbury, AK 05163', 2, 4, 1, 0, '2024-03-07 20:03:04', 2, '2024-08-09 22:02:50', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (7, 'Carla Henderson', '1969-08-14', 'M.Tech', '1141 Thompson Knoll, Thomashaven, AZ 04912', 1, 2, 1, 0, '2024-03-12 11:04:36', 3, '2024-11-25 17:24:45', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (8, 'Douglas Scott', '1975-08-28', 'B.Tech', '991 Scott Orchard, Dianeland, KY 64813', 1, 1, 0, 0, '2023-12-06 22:59:38', 3, '2024-09-05 09:53:00', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (9, 'Kyle Austin', '1998-10-30', 'PhD', '75115 Mitchell Island Suite 120, Mariafort, SC 40688', 4, 5, 0, 0, '2024-05-22 20:02:14', 2, '2025-03-03 09:01:39', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (10, 'Charlene Williams', '1980-10-13', 'PhD', '5330 Joseph Forest, Leslieport, AR 61795', 3, 4, 0, 0, '2023-12-08 23:40:19', 3, '2025-03-20 20:44:37', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (11, 'Michelle Howard', '1995-06-24', 'MBA', 'PSC 5042, Box 9254, APO AA 06076', 4, 1, 0, 0, '2024-04-03 19:58:27', 3, '2024-11-07 21:19:43', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (12, 'John Myers', '1990-03-27', 'PhD', '7186 Hensley Springs Apt. 620, Combsfort, SC 97191', 2, 5, 0, 0, '2023-08-20 05:33:13', 1, '2025-03-29 07:26:40', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (13, 'Ashley Butler', '1997-07-22', 'B.Sc', '52715 Hoffman Street Suite 848, Barbermouth, GA 19090', 3, 3, 1, 0, '2023-12-17 23:06:45', 5, '2025-07-22 05:28:24', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (14, 'Lance Anderson', '1979-02-19', 'B.Tech', 'USNV Esparza, FPO AA 99215', 3, 4, 1, 0, '2024-03-28 02:49:40', 3, '2025-04-29 18:31:35', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (15, 'Mark Young', '1976-09-25', 'PhD', '21142 Curtis Mountains, Branchburgh, NJ 04286', 4, 1, 0, 0, '2024-04-05 21:50:17', 5, '2025-03-01 16:18:11', 1);
